purge,10.0.2.15,54.192.230.2,55644,443,2020-04-20 21:52:11.337256,1970-01-01 01:00:00.000000,1,40,default_amqp/6466,08:00:27:51:b8:cb,52:54:00:12:35:02,tcp,,,
purge,54.192.230.2,10.0.2.15,443,55644,2020-04-20 21:52:11.337553,1970-01-01 01:00:00.000000,1,40,default_amqp/6466,52:54:00:12:35:02,08:00:27:51:b8:cb,tcp,,,
purge,10.0.2.15,151.101.65.69,59440,443,2020-04-20 21:52:18.415645,1970-01-01 01:00:00.000000,1,60,default_amqp/6466,08:00:27:51:b8:cb,52:54:00:12:35:02,tcp,,,
purge,151.101.65.69,10.0.2.15,443,59440,2020-04-20 21:52:18.462104,1970-01-01 01:00:00.000000,1,44,default_amqp/6466,52:54:00:12:35:02,08:00:27:51:b8:cb,tcp,,,
purge,10.0.2.15,151.101.65.69,59440,443,2020-04-20 21:52:18.462139,1970-01-01 01:00:00.000000,1,40,default_amqp/6466,08:00:27:51:b8:cb,52:54:00:12:35:02,tcp,,,
purge,10.0.2.15,151.101.65.69,59440,443,2020-04-20 21:52:18.463069,1970-01-01 01:00:00.000000,1,610,default_amqp/6466,08:00:27:51:b8:cb,52:54:00:12:35:02,tcp,,,
purge,151.101.65.69,10.0.2.15,443,59440,2020-04-20 21:52:18.463351,1970-01-01 01:00:00.000000,1,40,default_amqp/6466,52:54:00:12:35:02,08:00:27:51:b8:cb,tcp,,,
purge,151.101.65.69,10.0.2.15,443,59440,2020-04-20 21:52:18.541210,1970-01-01 01:00:00.000000,1,190,default_amqp/6466,52:54:00:12:35:02,08:00:27:51:b8:cb,tcp,,,
purge,10.0.2.15,151.101.65.69,59440,443,2020-04-20 21:52:18.541222,1970-01-01 01:00:00.000000,1,40,default_amqp/6466,08:00:27:51:b8:cb,52:54:00:12:35:02,tcp,,,
purge,10.0.2.15,151.101.65.69,59440,443,2020-04-20 21:52:18.541511,1970-01-01 01:00:00.000000,1,91,default_amqp/6466,08:00:27:51:b8:cb,52:54:00:12:35:02,tcp,,,
purge,10.0.2.15,151.101.65.69,59440,443,2020-04-20 21:52:18.541753,1970-01-01 01:00:00.000000,1,203,default_amqp/6466,08:00:27:51:b8:cb,52:54:00:12:35:02,tcp,,,
purge,10.0.2.15,151.101.65.69,59440,443,2020-04-20 21:52:18.541798,1970-01-01 01:00:00.000000,1,517,default_amqp/6466,08:00:27:51:b8:cb,52:54:00:12:35:02,tcp,,,
purge,151.101.65.69,10.0.2.15,443,59440,2020-04-20 21:52:18.544389,1970-01-01 01:00:00.000000,1,40,default_amqp/6466,52:54:00:12:35:02,08:00:27:51:b8:cb,tcp,,,
purge,151.101.65.69,10.0.2.15,443,59440,2020-04-20 21:52:18.544397,1970-01-01 01:00:00.000000,1,40,default_amqp/6466,52:54:00:12:35:02,08:00:27:51:b8:cb,tcp,,,
purge,151.101.65.69,10.0.2.15,443,59440,2020-04-20 21:52:18.544399,1970-01-01 01:00:00.000000,1,40,default_amqp/6466,52:54:00:12:35:02,08:00:27:51:b8:cb,tcp,,,
